q_percentile,k,n,observed_overlap,observed_jaccard,expected_jaccard,chance_adjusted_jaccard,cluster_boot_ci95_low,cluster_boot_ci95_high,panel,metric
22.0,126,573,40,0.18867924528301888,0.12390754979930439,0.07393248905281237,-0.07182322403840015,0.2196882021440249,P0,F1_Frobenius
23.0,131,573,43,0.1963470319634703,0.12943920253995603,0.0768560100784749,-0.0681200993661045,0.2218321195230543,P0,F1_Frobenius
24.0,137,573,49,0.21777777777777776,0.13614953768030674,0.0944934842985152,-0.05101728821752649,0.2400042568145569,P0,F1_Frobenius
25.0,143,573,52,0.2222222222222222,0.1429401392933665,0.09250472057282998,-0.05262953235587063,0.23763897350153057,P0,F1_Frobenius
26.0,148,573,56,0.23333333333333334,0.14866133274015444,0.09945748249131894,-0.046206610966026934,0.24512157594866482,P0,F1_Frobenius
27.0,154,573,62,0.25203252032520324,0.15560287751019589,0.11419939770835932,-0.029485679545841192,0.25788447496255984,P0,F1_Frobenius
28.0,160,573,66,0.25984251968503935,0.16262888566726297,0.11609384698592273,-0.0271394346094275,0.25932712858127294,P0,F1_Frobenius
29.0,166,573,70,0.26717557251908397,0.16974090852766702,0.11735452823362887,-0.023865511220464555,0.2585745676877223,P0,F1_Frobenius
30.0,171,573,74,0.27611940298507465,0.17573444559908336,0.12178715566848107,-0.020115407622141104,0.26368971895910326,P0,F1_Frobenius
31.0,177,573,79,0.2872727272727273,0.1830083192418814,0.1276199139923859,-0.01572125805425495,0.27096108603902674,P0,F1_Frobenius
32.0,183,573,83,0.29328621908127206,0.1903728151227539,0.12711209045447464,-0.016920360382101485,0.27114454129105076,P0,F1_Frobenius
33.0,189,573,90,0.3125,0.19782963807008228,0.14295013549744684,-0.003482433681717828,0.28938270467661154,P0,F1_Frobenius
34.0,194,573,94,0.3197278911564626,0.20411544453627195,0.14526283469947246,-0.004579435130024734,0.29510510452896965,P0,F1_Frobenius
35.0,200,573,101,0.3377926421404682,0.2117461055962624,0.1599060118054371,0.008261563131479771,0.3115504604793944,P0,F1_Frobenius
36.0,206,573,106,0.3464052287581699,0.21947416273996465,0.16262250390555322,0.007069892270239936,0.3181751155408665,P0,F1_Frobenius
37.0,212,573,113,0.3633440514469453,0.22730149363603225,0.17606162907066927,0.02029028171265934,0.3318329764286792,P0,F1_Frobenius
38.0,217,573,116,0.36477987421383645,0.23390149173608848,0.17083753729574155,0.014208393553178739,0.32746668103830434,P0,F1_Frobenius
39.0,223,573,122,0.3765432098765432,0.24191586374086366,0.17758892410018695,0.02341073398888216,0.33176711421149174,P0,F1_Frobenius
40.0,229,573,127,0.38368580060422963,0.25003509898592313,0.17820927544420892,0.0252452572762408,0.33117329361217707,P0,F1_Frobenius
41.0,234,573,132,0.39285714285714285,0.256882726086866,0.18297840938921767,0.03241459512430714,0.3335422236541282,P0,F1_Frobenius
42.0,240,573,136,0.3953488372093023,0.26519963409964514,0.1771218539748339,0.027827707361004428,0.3264160005886634,P0,F1_Frobenius
43.0,246,573,144,0.41379310344827586,0.2736274229346693,0.19296664678600597,0.044459389125150434,0.34147390444686154,P0,F1_Frobenius
44.0,252,573,148,0.4157303370786517,0.28216832632827377,0.18606313380852232,0.03607932238867839,0.33604694522836626,P0,F1_Frobenius
45.0,257,573,153,0.42382271468144045,0.28937380606327734,0.1891977945160505,0.03888642976161394,0.3395091592704871,P0,F1_Frobenius
46.0,263,573,159,0.4332425068119891,0.2981280897313316,0.19250580498219014,0.04131531431088942,0.34369629565349086,P0,F1_Frobenius
47.0,269,573,165,0.44235924932975873,0.3070021521112328,0.1953210931763991,0.04236066103628258,0.34828152531651557,P0,F1_Frobenius
48.0,275,573,168,0.4397905759162304,0.3159984701785904,0.1809822059461792,0.030034087704353757,0.3319303241880046,P0,F1_Frobenius
49.0,280,573,171,0.43958868894601544,0.32359062621322854,0.17149091545463066,0.022458283152914343,0.32052354775634695,P0,F1_Frobenius
50.0,286,573,178,0.4517766497461929,0.33281774305900164,0.17830046505225228,0.03135867294486036,0.32524225715964417,P0,F1_Frobenius
1.0,5,573,0,0.0,0.0048647682070274215,-0.004888549869008643,-0.005547997324626574,-0.004229102413390712,P0,F3_Longitudinal
2.0,11,573,0,0.0,0.010144239897062002,-0.010248200097362744,-0.011154013613854648,-0.009342386580870839,P0,F3_Longitudinal
3.0,17,573,0,0.0,0.015500234329753358,-0.015744274270294834,-0.025019895106281338,-0.006468653434308332,P0,F3_Longitudinal
4.0,22,573,0,0.0,0.02001050598232266,-0.020419102556176693,-0.05428041283857636,0.013442207726222979,P0,F3_Longitudinal
